,reward
0,123
1,130
2,148
3,126
4,140
5,92
6,179
7,144
8,158
9,162
10,147
11,164
12,106
13,137
14,173
15,122
16,181
17,130
18,123
19,117
20,121
21,125
22,124
23,161
24,176
25,151
26,124
27,159
28,128
29,121
30,164
31,127
32,154
33,73
34,167
35,97
36,136
37,124
38,139
39,131
40,182
41,165
42,120
43,138
44,127
45,120
46,140
47,137
48,140
49,178
50,120
51,137
52,158
53,129
54,153
55,115
56,124
57,180
58,141
59,131
60,143
61,116
62,156
63,159
64,106
65,140
66,159
67,67
68,152
69,112
70,100
71,149
72,117
73,103
74,152
75,148
76,108
77,136
78,170
79,148
80,162
81,143
82,108
83,173
84,132
85,118
86,112
87,162
88,143
89,157
90,134
91,143
92,155
93,158
94,142
95,146
96,89
97,167
98,145
99,74
100,156
101,160
102,140
103,128
104,124
105,181
106,144
107,146
108,182
109,170
110,173
111,170
112,125
113,141
114,145
115,160
116,130
117,159
118,96
119,182
120,112
121,159
122,135
123,139
124,121
125,93
126,129
127,118
128,133
129,169
130,148
131,157
132,161
133,121
134,152
135,140
136,100
137,141
138,126
139,128
140,173
141,164
142,129
143,150
144,120
145,127
146,143
147,168
148,164
149,145
150,128
151,168
152,147
153,145
154,142
155,134
156,126
157,139
158,118
159,101
160,148
161,140
162,144
163,156
164,133
165,112
166,131
167,140
168,176
169,118
170,141
171,127
172,114
173,137
174,137
175,73
176,172
177,134
178,169
179,147
180,163
181,156
182,147
183,131
184,114
185,163
186,170
187,116
188,138
189,124
190,138
191,152
192,166
193,86
194,72
195,140
196,101
197,152
198,121
199,148
200,143
201,91
202,144
203,141
204,153
205,165
206,114
207,95
208,115
209,123
210,161
211,122
212,140
213,134
214,152
215,124
216,166
217,179
218,153
219,143
220,173
221,167
222,142
223,124
224,143
225,144
226,147
227,157
228,130
229,123
230,134
231,112
232,132
233,131
234,110
235,154
236,164
237,165
238,106
239,154
240,160
241,163
242,107
243,133
244,121
245,164
246,149
247,137
248,138
249,112
250,118
251,154
252,157
253,144
254,156
255,141
256,179
257,163
